date,state,state_ibge_code,deaths,created_at
2020-04-19,AC,12,12,2021-03-17 19:42
2020-04-20,AC,12,7,2021-03-17 19:42
2020-04-21,AC,12,7,2021-03-17 19:42
2020-04-22,AC,12,16,2021-03-17 19:42
2020-04-23,AC,12,6,2021-03-17 19:42
2020-04-24,AC,12,9,2021-03-17 19:42
2020-04-25,AC,12,6,2021-03-17 19:42
2020-04-26,AC,12,16,2021-03-17 19:42
2020-04-27,AC,12,12,2021-03-17 19:42
2020-04-28,AC,12,21,2021-03-17 19:42
2020-04-29,AC,12,15,2021-03-17 19:42
2020-04-30,AC,12,8,2021-03-17 19:42
2020-05-01,AC,12,9,2021-03-17 19:42
2020-05-02,AC,12,15,2021-03-17 19:42
2020-05-03,AC,12,17,2021-03-17 19:42
2020-05-04,AC,12,9,2021-03-17 19:42
2020-05-05,AC,12,12,2021-03-17 19:42
2020-05-06,AC,12,13,2021-03-17 19:42
2020-05-07,AC,12,12,2021-03-17 19:42
2020-05-08,AC,12,13,2021-03-17 19:42
2020-05-09,AC,12,10,2021-03-17 19:42
2020-05-10,AC,12,12,2021-03-17 19:42
2020-05-11,AC,12,18,2021-03-17 19:42
2020-05-12,AC,12,14,2021-03-17 19:42
2020-05-13,AC,12,12,2021-03-17 19:42
2020-05-14,AC,12,16,2021-03-17 19:42
2020-05-15,AC,12,8,2021-03-17 19:42
2020-05-16,AC,12,13,2021-03-17 19:42
2020-05-17,AC,12,23,2021-03-17 19:42
2020-05-18,AC,12,14,2021-03-17 19:42
2020-05-19,AC,12,21,2021-03-17 19:42
2020-05-20,AC,12,23,2021-03-17 19:42
2020-05-21,AC,12,21,2021-03-17 19:42
2020-05-22,AC,12,32,2021-03-17 19:42
2020-05-23,AC,12,27,2021-03-17 19:42
2020-05-24,AC,12,15,2021-03-17 19:42
2020-05-25,AC,12,24,2021-03-17 19:42
2020-05-26,AC,12,20,2021-03-17 19:42
2020-05-27,AC,12,18,2021-03-17 19:42
2020-05-28,AC,12,20,2021-03-17 19:42
2020-05-29,AC,12,25,2021-03-17 19:42
2020-05-30,AC,12,21,2021-03-17 19:42
2020-05-31,AC,12,16,2021-03-17 19:42
2020-06-01,AC,12,12,2021-03-17 19:42
2020-06-02,AC,12,17,2021-03-17 19:42
2020-06-03,AC,12,24,2021-03-17 19:42
2020-06-04,AC,12,18,2021-03-17 19:42
2020-06-05,AC,12,19,2021-03-17 19:42
2020-06-06,AC,12,28,2021-03-17 19:42
2020-06-07,AC,12,9,2021-03-17 19:42
2020-06-08,AC,12,27,2021-03-17 19:42
2020-06-09,AC,12,21,2021-03-17 19:42
2020-06-10,AC,12,21,2021-03-17 19:42
2020-06-11,AC,12,19,2021-03-17 19:42
2020-06-12,AC,12,22,2021-03-17 19:42
2020-06-13,AC,12,19,2021-03-17 19:42
2020-06-14,AC,12,12,2021-03-17 19:42
2020-06-15,AC,12,18,2021-03-17 19:42
2020-06-16,AC,12,15,2021-03-17 19:42
2020-06-17,AC,12,21,2021-03-17 19:42
2020-06-18,AC,12,10,2021-03-17 19:42
2020-06-19,AC,12,17,2021-03-17 19:42
2020-06-20,AC,12,24,2021-03-17 19:42
2020-06-21,AC,12,13,2021-03-17 19:42
2020-06-22,AC,12,15,2021-03-17 19:42
2020-06-23,AC,12,11,2021-03-17 19:42
2020-06-24,AC,12,11,2021-03-17 19:42
2020-06-25,AC,12,27,2021-03-17 19:42
2020-06-26,AC,12,21,2021-03-17 19:42
2020-06-27,AC,12,13,2021-03-17 19:42
2020-06-28,AC,12,11,2021-03-17 19:42
2020-06-29,AC,12,10,2021-03-17 19:42
2020-06-30,AC,12,17,2021-03-17 19:42
2020-07-01,AC,12,14,2021-03-17 19:42
2020-07-02,AC,12,16,2021-03-17 19:42
2020-07-03,AC,12,16,2021-03-17 19:42
